Time_s,Mode,ModeName
0,1,NORMAL
2.9,2,WARNING
3.35,3,PARTIAL_BRAKE
5.5,4,FULL_BRAKE
9.35,3,PARTIAL_BRAKE
9.4,2,WARNING
9.45,1,NORMAL
